ID Empresa	CEP	Faturamento 2019 (R$)	Gestor da Empresa	Endereço
608	25565-150	4985	RODRIGO GREGOLIN GIANNOTTI	CEP 25565-150 - Brazil
618	26123-090	23743	CAIO MENESES STABEL	CEP 26123-090 - Brazil
649	09330-010	109218	NÍCOLAS MIKIO ISIKI	CEP 09330-010 - Brazil
652	09330-550	113833	RODRIGO GREGOLIN GIANNOTTI	CEP 09330-550 - Brazil
662	04218-040	71909	CAIO MENESES STABEL	CEP 04218-040 - Brazil
693	26315-440	128821	NÍCOLAS MIKIO ISIKI	CEP 26315-440 - Brazil
696	26010-077	10277	RODRIGO GREGOLIN GIANNOTTI	CEP 26010-077 - Brazil
706	25253-550	30612	CAIO MENESES STABEL	CEP 25253-550 - Brazil
737	04855-230	72123	NÍCOLAS MIKIO ISIKI	CEP 04855-230 - Brazil
740	04890-100	127895	RODRIGO GREGOLIN GIANNOTTI	CEP 04890-100 - Brazil
750	05660-000	24440	CAIO MENESES STABEL	CEP 05660-000 - Brazil
781	23031-320	11091	NÍCOLAS MIKIO ISIKI	CEP 23031-320 - Brazil
784	23020-715	125530	RODRIGO GREGOLIN GIANNOTTI	CEP 23020-715 - Brazil
794	08450-000	113468	CAIO MENESES STABEL	CEP 08450-000 - Brazil
825	05890-490	98859	NÍCOLAS MIKIO ISIKI	CEP 05890-490 - Brazil
828	05871-240	115865	RODRIGO GREGOLIN GIANNOTTI	CEP 05871-240 - Brazil
838	05893-000	98726	CAIO MENESES STABEL	CEP 05893-000 - Brazil
869	02820-090	29435	NÍCOLAS MIKIO ISIKI	CEP 02820-090 - Brazil
872	02851-000	67918	RODRIGO GREGOLIN GIANNOTTI	CEP 02851-000 - Brazil
882	02871-100	55926	CAIO MENESES STABEL	CEP 02871-100 - Brazil
913	04429-280	10935	NÍCOLAS MIKIO ISIKI	CEP 04429-280 - Brazil
916	22641-370	21813	RODRIGO GREGOLIN GIANNOTTI	CEP 22641-370 - Brazil
926	21660-320	20135	CAIO MENESES STABEL	CEP 21660-320 - Brazil
957	03814-120	69934	NÍCOLAS MIKIO ISIKI	CEP 03814-120 - Brazil
960	07156-100	64140	RODRIGO GREGOLIN GIANNOTTI	CEP 07156-100 - Brazil
970	07161-180	2421	CAIO MENESES STABEL	CEP 07161-180 - Brazil
